"References","Quantity","Value or Description","Footprint or Package","Manufacturer","MPN","Supplier","Source URL","Estimated Unit Cost USD","Datasheet","Notes","Evidence Status"
"TP11","1","B:01_NODE","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"TP12","1","RUN","TestPoint:TestPoint_Keystone_5015_Micro-Minature","Keystone Electronics Corp.","5015","DigiKey","https://www.digikey.com/en/products/detail/keystone-electronics/5015/278885","UNKNOWN","https://www.keyelco.com/pdfs/p33.pdf","Reserve named points for VBUS, 3V3, GND, ADC_REF_1V8, BIAS, STIM, a drive-enable control, READY, FAULT, A:01 internal, B:01 internal, and RUN/reset. Issue #3 may add points but must not remove required coverage.","manufacturer-datasheet-backed static selection; not bench validated"
"U1","1","Raspberry Pi Pico SC0915","PinPath:RaspberryPi_Pico_SMD_HandSolder","Raspberry Pi Ltd","SC0915","DigiKey","https://www.digikey.com/en/products/detail/raspberry-pi/SC0915/13624793","UNKNOWN","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf","Use module micro-USB as the only normal power/data input. Do not fit headers when surface mounting. Preserve BOOTSEL and SWD access. ADC pins must be externally clamped and must not be driven while the module is unpowered.","manufacturer-datasheet-backed static selection; not bench validated"
"U2","1","TMUX1108 U2 DRV_A_LO_EN","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","Texas Instruments","TMUX1108PWR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/TMUX1108PWR/9861450","UNKNOWN","https://www.ti.com/lit/ds/symlink/tmux1108.pdf","U2/U3 drive A low/high, U4/U5 drive B low/high, U6/U7 sense A low/high, U8/U9 sense B low/high. EN is active high and requires an external pulldown. Fit 100 nF at every VDD pin. VSS and GND both connect to GND for single-supply use.","manufacturer-datasheet-backed static selection; not bench validated"
"U3","1","TMUX1108 U3 DRV_A_HI_EN","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","Texas Instruments","TMUX1108PWR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/TMUX1108PWR/9861450","UNKNOWN","https://www.ti.com/lit/ds/symlink/tmux1108.pdf","U2/U3 drive A low/high, U4/U5 drive B low/high, U6/U7 sense A low/high, U8/U9 sense B low/high. EN is active high and requires an external pulldown. Fit 100 nF at every VDD pin. VSS and GND both connect to GND for single-supply use.","manufacturer-datasheet-backed static selection; not bench validated"
"U4","1","TMUX1108 U4 DRV_B_LO_EN","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","Texas Instruments","TMUX1108PWR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/TMUX1108PWR/9861450","UNKNOWN","https://www.ti.com/lit/ds/symlink/tmux1108.pdf","U2/U3 drive A low/high, U4/U5 drive B low/high, U6/U7 sense A low/high, U8/U9 sense B low/high. EN is active high and requires an external pulldown. Fit 100 nF at every VDD pin. VSS and GND both connect to GND for single-supply use.","manufacturer-datasheet-backed static selection; not bench validated"
"U5","1","TMUX1108 U5 DRV_B_HI_EN","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","Texas Instruments","TMUX1108PWR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/TMUX1108PWR/9861450","UNKNOWN","https://www.ti.com/lit/ds/symlink/tmux1108.pdf","U2/U3 drive A low/high, U4/U5 drive B low/high, U6/U7 sense A low/high, U8/U9 sense B low/high. EN is active high and requires an external pulldown. Fit 100 nF at every VDD pin. VSS and GND both connect to GND for single-supply use.","manufacturer-datasheet-backed static selection; not bench validated"
"U6","1","TMUX1108 U6 SENSE_LO_EN","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","Texas Instruments","TMUX1108PWR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/TMUX1108PWR/9861450","UNKNOWN","https://www.ti.com/lit/ds/symlink/tmux1108.pdf","U2/U3 drive A low/high, U4/U5 drive B low/high, U6/U7 sense A low/high, U8/U9 sense B low/high. EN is active high and requires an external pulldown. Fit 100 nF at every VDD pin. VSS and GND both connect to GND for single-supply use.","manufacturer-datasheet-backed static selection; not bench validated"
"U7","1","TMUX1108 U7 SENSE_HI_EN","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","Texas Instruments","TMUX1108PWR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/TMUX1108PWR/9861450","UNKNOWN","https://www.ti.com/lit/ds/symlink/tmux1108.pdf","U2/U3 drive A low/high, U4/U5 drive B low/high, U6/U7 sense A low/high, U8/U9 sense B low/high. EN is active high and requires an external pulldown. Fit 100 nF at every VDD pin. VSS and GND both connect to GND for single-supply use.","manufacturer-datasheet-backed static selection; not bench validated"
"U8","1","TMUX1108 U8 SENSE_LO_EN","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","Texas Instruments","TMUX1108PWR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/TMUX1108PWR/9861450","UNKNOWN","https://www.ti.com/lit/ds/symlink/tmux1108.pdf","U2/U3 drive A low/high, U4/U5 drive B low/high, U6/U7 sense A low/high, U8/U9 sense B low/high. EN is active high and requires an external pulldown. Fit 100 nF at every VDD pin. VSS and GND both connect to GND for single-supply use.","manufacturer-datasheet-backed static selection; not bench validated"
"U9","1","TMUX1108 U9 SENSE_HI_EN","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","Texas Instruments","TMUX1108PWR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/TMUX1108PWR/9861450","UNKNOWN","https://www.ti.com/lit/ds/symlink/tmux1108.pdf","U2/U3 drive A low/high, U4/U5 drive B low/high, U6/U7 sense A low/high, U8/U9 sense B low/high. EN is active high and requires an external pulldown. Fit 100 nF at every VDD pin. VSS and GND both connect to GND for single-supply use.","manufacturer-datasheet-backed static selection; not bench validated"
"U10","1","REF3318 1.8V","Package_TO_SOT_SMD:SOT-23","Texas Instruments","REF3318AIDBZR","DigiKey","https://www.digikey.com/en/products/detail/texas-instruments/REF3318AIDBZR/1900126","UNKNOWN","https://www.ti.com/lit/ds/symlink/ref33.pdf","Provides ADC_REF_1V8 and the high phase of BIAS through R75. Firmware must compare the endpoint high phase to measured ADC_REF; this is diagnostic evidence, not calibration.","manufacturer-datasheet-backed static selection; not bench validated"
